id,parent_id,name,slug,description,icon_emoji,service_count,is_popular,display_order,created_at
employment-subsidy-consulting,labor-service,고용지원금 상담,employment-subsidy-consulting,,,0,false,3,2025-10-24 05:42:09.720473+00
english-interpretation,interpretation,영어 통역,english-interpretation,,,0,true,0,2025-10-24 05:42:09.720473+00
english-translation,document-translation,영어 번역,english-translation,,,0,true,0,2025-10-24 05:42:09.720473+00
entertainer,video-photo,엔터테이너,entertainer,,,0,false,6,2025-10-24 05:42:09.720473+00
errand-service,errands,심부름 대행,errand-service,,,0,false,1,2025-10-24 05:42:09.720473+00
errands,,심부름,errands,빠른 배달 및 심부름 서비스,motorcycle,13,false,75,2025-10-24 05:42:09.720473+00
essay-writing,academic-documents,에세이,essay-writing,,,0,false,1,2025-10-24 05:42:09.720473+00
etc-ai-lesson,ai-education,기타 AI 레슨,etc-ai-lesson,,,0,false,5,2025-10-24 05:42:09.720473+00
event,,이벤트,event,특별한 날을 위한 서비스,calendar,14,false,12,2025-10-24 05:42:09.720473+00
event-planning,event,행사 기획,event-planning,,,0,false,0,2025-10-24 05:42:09.720473+00
event-promotion,marketing-etc,행사·이벤트,event-promotion,,,0,false,4,2025-10-24 05:42:09.720473+00
event-services,event,행사 서비스,event-services,,,0,false,1,2025-10-24 05:42:09.720473+00
event-snap,photography,이벤트 스냅,event-snap,,,0,false,2,2025-10-24 05:42:09.720473+00
event-video,video,행사 영상,event-video,,,0,false,5,2025-10-24 05:42:09.720473+00
excel-spreadsheet,program,엑셀·스프레드시트,excel-spreadsheet,,,0,false,7,2025-10-24 05:42:09.720473+00
excel-template,templates,엑셀 템플릿,excel-template,,,0,false,1,2025-10-24 05:42:09.720473+00
excel-training,office-skills,엑셀 교육,excel-training,,,0,false,0,2025-10-24 05:42:09.720473+00
